Date,Dividends
3/17/00,0.371
6/16/00,0.348
9/15/00,0.375
12/15/00,0.411
3/16/01,0.316
6/15/01,0.346
9/21/01,0.369
12/21/01,0.393
3/15/02,0.331
6/21/02,0.353
9/20/02,0.378
12/20/02,0.436
3/21/03,0.354
6/20/03,0.36
9/19/03,0.4
12/19/03,0.516
3/19/04,0.395
6/18/04,0.414
9/17/04,0.469
11/15/04,0.351
12/17/04,0.568
3/18/05,0.467
6/17/05,0.488
9/16/05,0.522
12/16/05,0.672
3/17/06,0.519
6/16/06,0.555
9/15/06,0.579
12/15/06,0.793
3/16/07,0.551
6/15/07,0.656
9/21/07,0.719
12/21/07,0.775
3/20/08,0.642
6/20/08,0.669
9/19/08,0.691
12/19/08,0.719
3/20/09,0.561
6/19/09,0.518
9/18/09,0.508
12/18/09,0.59
3/19/10,0.48
6/18/10,0.531
9/17/10,0.602
12/17/10,0.653
3/18/11,0.553
6/17/11,0.628
9/16/11,0.625
12/16/11,0.77
3/16/12,0.614
6/15/12,0.688
9/21/12,0.779
12/21/12,1.022
3/15/13,0.694
6/21/13,0.839
9/20/13,0.838
12/20/13,0.98
3/21/14,0.825
6/20/14,0.937
9/19/14,0.939
12/19/14,1.135
3/20/15,0.931
6/19/15,1.03
9/18/15,1.033
12/18/15,1.212
3/18/16,1.05
6/17/16,1.078
9/16/16,1.082
12/16/16,1.329
3/17/17,1.033
6/16/17,1.183
9/15/17,1.235
12/15/17,1.351
3/16/18,1.097
6/15/18,1.246
9/21/18,1.323
12/21/18,1.435
3/15/19,1.233
6/21/19,1.432
9/20/19,1.384
12/20/19,1.57